litros;produccion
;
16557;3059
16335;3040
16539;3063
16659;3090
16648,5;3074
16455;3043
16258,5;3013
16495,5;3056
16539;3062
16485;3051
16569;3064
16348,5;3029
16347;3031
16248;3004
16701;3108
16606,5;3076
16533;3074
16243,5;3004
16636,5;3076
16246,5;3011
16341;3025
16455;3064
16503;3052
16561,5;3082
16666,5;3091
16749;3105
16339,5;3037
16324,5;3020
16494;3050
16624,5;3072
16398;3057
16374;3040
16572;3086
16504,5;3059
16558,5;3073
16497;3046
16617;3068
16309,5;3022
16303,5;3016
16404;3058
16678,5;3093
16722;3098
16704;3101
16263;3010
16312,5;3022
16467;3046
16701;3108
16600,5;3080
791496;146709
